Airports,Domestic Arrivals,Domestic Departures,Total_DOM,International Arrivals,International Departures,Total_INT,Arrival_TOTAL,Departure_TOTAL,Total_TOTAL,Latitude,Longitude
KLIA,7386376,7277305,14663681,16349885,16170982,32520867,23736261,23448287,47184548,2.74,101.7
PULAU PINANG,1784274,1800230,3584504,1589582,1605933,3195515,3373856,3406163,6780019,5.3,100.28
KOTA KINABALU,2805747,2797032,5602779,718604,720788,1439392,3524351,3517820,7042171,5.92,116.05
KUCHING,2483368,2477517,4960885,179544,191294,370838,2662912,2668811,5331723,1.49,110.34
LANGKAWI,1138630,1144047,2282677,108701,110416,219117,1247331,1254463,2501794,6.34,99.73
JOHOR BAHRU,1241671,1296760,2538431,234756,236831,471587,1476427,1533591,3010018,1.64,103.67
KOTA BHARU,788837,794451,1583288,,,,788837,794451,1583288,6.17,102.29
IPOH,66309,65867,132176,183252,201732,384984,249561,267599,517160,4.57,101.1
KUALA TERENGGANU,293477,301619,595096,,,,293477,301619,595096,5.38,103.11
ALOR SETAR,289258,299513,588771,,,,289258,299513,588771,6.19,100.4
MELAKA,5020,5181,10201,7068,6220,13288,12088,11401,23489,2.26,102.25
SUBANG,565259,561481,1126740,126588,123478,250066,691847,684959,1376806,3.13,101.55
KUANTAN,70935,71085,142020,15613,18467,34080,86548,89552,176100,3.78,103.22
TIOMAN,2331,2455,4786,86,92,178,2417,2547,4964,2.82,104.16
REDANG,3393,3704,7097,1,1,2,3394,3705,7099,5.77,103.01
LABUAN,235293,233866,469159,,,,235293,233866,469159,5.3,115.25
LAHAD DATU,69016,73586,142602,,,,69016,73586,142602,5.08,118.3
SANDAKAN,446292,451724,898016,8,,8,446300,451724,898024,5.9,118.06
TAWAU,853345,858085,1711430,5,5,10,853350,858090,1711440,4.31,118.11
BINTULU,435035,437278,872313,131,33,164,435166,437311,872477,3.12,113.02
MIRI,1047776,1054120,2101896,46263,51506,97769,1094039,1105626,2199665,4.32,113.99
SIBU,750716,749892,1500608,21398,26596,47994,772114,776488,1548602,2.26,111.99
MULU,36326,35824,72150,,,,36326,35824,72150,4.05,114.81
LIMBANG,41899,41796,83695,,,,41899,41796,83695,4.81,115.01
MUKAH,29928,30712,60640,,,,29928,30712,60640,2.89,112.04
